"","GeneID","log2FoldChange"
"509","FBgn0029123",1.603674465058
"510","FBgn0086675",1.60331348932474
"511","FBgn0050127",1.60316901419337
"512","FBgn0052815",1.60229278264797
"513","FBgn0025625",1.60021526772937
"514","FBgn0050263",1.59750788817524
"515","FBgn0033687",1.5897687803848
"516","FBgn0031753",1.58855860271463
"517","FBgn0035643",1.58855860271463
"518","FBgn0028999",1.58575115247959
"519","FBgn0038419",1.58427903404195
"520","FBgn0034789",1.58425472567179
"521","FBgn0015903",1.57911346311146
"522","FBgn0000028",1.57858657369169
"523","FBgn0038980",1.57851004177392
"524","FBgn0260446",1.5778074904355
"525","FBgn0052544",1.57477692430089
"526","FBgn0030999",1.57267352560251
"527","FBgn0053481",1.57174295372843
"528","FBgn0031910",1.57119726237259
"529","FBgn0036319",1.56886618993881
"530","FBgn0003067",1.56861051143563
"531","FBgn0036363",1.56793049822004
"532","FBgn0051708",1.56564315434572
"533","FBgn0262510",1.56510939840136
"534","FBgn0033249",1.56386454211637
"535","FBgn0030310",1.56243991070038
"536","FBgn0035577",1.5623620327273
"537","FBgn0031307",1.56180184380926
"538","FBgn0037736",1.56124714128067
"539","FBgn0015541",1.55960926990901
"540","FBgn0034335",1.55769214941191
"541","FBgn0051219",1.55700550928427
"542","FBgn0035612",1.55450267227471
"543","FBgn0051676",1.55054853398792
"544","FBgn0035914",1.54864631259248
"545","FBgn0036502",1.54845962726178
"546","FBgn0042173",1.54521578795811
"547","FBgn0260657",1.54386228133368
"548","FBgn0053985",1.54198712951163
"549","FBgn0038414",1.54176777448646
"550","FBgn0035346",1.54112877137931
"551","FBgn0003091",1.54093568970364
"552","FBgn0000355",1.53977802274945
"553","FBgn0033234",1.53922231428488
"554","FBgn0000303",1.53892229316232
"555","FBgn0261990",1.53599743589241
"556","FBgn0037107",1.5341121062925
"557","FBgn0040351",1.53343177827356
"558","FBgn0051436",1.532453250699
"559","FBgn0002306",1.53212493909967
"560","FBgn0031306",1.53147558681347
"561","FBgn0032074",1.53128151207934
"562","FBgn0034720",1.52968204458979
"563","FBgn0029663",1.52949473492056
"564","FBgn0052369",1.52816802032672
"565","FBgn0037391",1.52730833317056
"566","FBgn0030634",1.52726231882803
"567","FBgn0005586",1.52479655728189
"568","FBgn0037798",1.52455434984323
"569","FBgn0039453",1.52307932435256
"570","FBgn0033134",1.5225058396369
"571","FBgn0041607",1.52152040732632
"572","FBgn0050281",1.52084490184143
"573","FBgn0052475",1.5144831183216
"574","FBgn0052204",1.51332036707665
"575","FBgn0050035",1.51187359538073
"576","FBgn0031116",1.51128902760559
"577","FBgn0036274",1.50963813894153
"578","FBgn0032139",1.50944734226442
"579","FBgn0085388",1.50812650980134
"580","FBgn0036116",1.50548248645988
"581","FBgn0052187",1.50433546147958
"582","FBgn0250910",1.50337565858046
"583","FBgn0038402",1.5032800831737
"584","FBgn0038020",1.50266901826767
"585","FBgn0004619",1.50257287121054
"586","FBgn0000278",1.50249588211158
"587","FBgn0031697",1.50215680859349
"588","FBgn0001078",1.5006154894964
"589","FBgn0032741",1.49888386769455
"590","FBgn0039226",1.49771888636812
"591","FBgn0033978",1.49537041895415
"592","FBgn0039722",1.494758370435
"593","FBgn0010114",1.49396925916648
"594","FBgn0041181",1.49396830101115
"595","FBgn0264343",1.492234223815
"596","FBgn0053527",1.48886246922398
"597","FBgn0031005",1.4887917437716
"598","FBgn0263038",1.48791142743856
"599","FBgn0053543",1.48728151965426
"600","FBgn0035246",1.4845580721401
"601","FBgn0003209",1.48375254237632
"602","FBgn0004034",1.48137738811954
"603","FBgn0051057",1.48076752141294
"604","FBgn0039900",1.48064827805177
"605","FBgn0263780",1.48040844170236
"606","FBgn0052412",1.47988577398568
"607","FBgn0261089",1.47946715853783
"608","FBgn0035050",1.47871625945068
"609","FBgn0033872",1.47833622139012
"610","FBgn0034797",1.47779871152053
"611","FBgn0031239",1.47645659678518
"612","FBgn0261625",1.4753811856047
"613","FBgn0039856",1.4741433372396
"614","FBgn0263113",1.47347554830169
"615","FBgn0261723",1.47289298643207
"616","FBgn0035439",1.47274751792344
"617","FBgn0259111",1.46939560051686
"618","FBgn0050361",1.46794289444007
"619","FBgn0003475",1.46702764809544
"620","FBgn0004242",1.4659239315641
"621","FBgn0030028",1.46508329088943
"622","FBgn0264490",1.46488028751896
"623","FBgn0051462",1.46446835549498
"624","FBgn0004569",1.46375647940181
"625","FBgn0053203",1.46367743361349
"626","FBgn0261569",1.46363634041296
"627","FBgn0046322",1.46105287501363
"628","FBgn0263039",1.4576589194189
"629","FBgn0083039",1.4554096357537
"630","FBgn0027581",1.45504846207093
"631","FBgn0031644",1.45269594222221
"632","FBgn0010014",1.45197481688822
"633","FBgn0039476",1.44962195467122
"634","FBgn0033226",1.4488688370761
"635","FBgn0037151",1.44811784177014
"636","FBgn0034758",1.4468817854225
"637","FBgn0036186",1.44656047397994
"638","FBgn0052512",1.44422361892382
"639","FBgn0028645",1.44140221015413
"640","FBgn0004047",1.43863176722144
"641","FBgn0039911",1.43849895449802
"642","FBgn0028425",1.43546890486522
"643","FBgn0037130",1.43352219595079
"644","FBgn0031068",1.43118919283761
"645","FBgn0030688",1.43002486912185
"646","FBgn0085414",1.42869534260696
"647","FBgn0029791",1.42764862107696
"648","FBgn0036391",1.42760716652304
"649","FBgn0262160",1.42724855572547
"650","FBgn0034662",1.42699188869094
"651","FBgn0085410",1.42696374012621
"652","FBgn0034978",1.42538736168051
"653","FBgn0033710",1.42372809242151
"654","FBgn0035710",1.42077635728138
"655","FBgn0003448",1.41977571383348
"656","FBgn0028996",1.41948777025056
"657","FBgn0037546",1.41834564772757
"658","FBgn0014073",1.41673860034498
"659","FBgn0035770",1.41405918622836
"660","FBgn0263620",1.41178962566915
"661","FBgn0036128",1.41145349779789
"662","FBgn0260386",1.40977121479732
"663","FBgn0028400",1.40915414195395
"664","FBgn0263873",1.40903932005255
"665","FBgn0032638",1.40807068736567
"666","FBgn0040653",1.40607880504432
"667","FBgn0029879",1.40456325643419
"668","FBgn0053294",1.40038767246741
"669","FBgn0040390",1.39897727468999
"670","FBgn0038412",1.39751084675855
"671","FBgn0035157",1.39677764004901
"672","FBgn0004652",1.39209140559605
"673","FBgn0039734",1.39053915341356
"674","FBgn0033983",1.38896799368916
"675","FBgn0034756",1.38871713903045
"676","FBgn0037849",1.38785149547353
"677","FBgn0034903",1.38677004539856
"678","FBgn0262735",1.38628959482234
"679","FBgn0038330",1.3842909788605
"680","FBgn0010222",1.38388470538635
"681","FBgn0051955",1.38305787722381
"682","FBgn0004512",1.38233280953964
"683","FBgn0031636",1.38201163923128
"684","FBgn0031957",1.37639211843369
"685","FBgn0031294",1.37461185707208
"686","FBgn0011274",1.37429849732902
"687","FBgn0024984",1.3737121562976
"688","FBgn0012042",1.37329193903806
"689","FBgn0034331",1.37278905572633
"690","FBgn0036595",1.37219903407019
"691","FBgn0035499",1.37143235868469
"692","FBgn0036485",1.37059547024943
"693","FBgn0039869",1.3699314631341
"694","FBgn0031716",1.36880288026511
"695","FBgn0039644",1.36802796831434
"696","FBgn0052017",1.36746756309989
"697","FBgn0052683",1.36620430979624
"698","FBgn0263930",1.36555042452648
"699","FBgn0038347",1.36370023481618
"700","FBgn0263346",1.36289635705986
"701","FBgn0033371",1.36194558494647
"702","FBgn0032946",1.36131773969885
"703","FBgn0032023",1.3601347338402
"704","FBgn0263615",1.3601347338402
"705","FBgn0030961",1.36007715699642
"706","FBgn0063495",1.35973524601958
"707","FBgn0259677",1.3596440577524
"708","FBgn0033726",1.35884594750221
"709","FBgn0034140",1.35716139830504
"710","FBgn0053143",1.35684163259888
"711","FBgn0039007",1.35551714640522
"712","FBgn0263869",1.35428659695612
"713","FBgn0264255",1.35025197400514
"714","FBgn0051221",1.34613505347522
"715","FBgn0039752",1.34607734421713
"716","FBgn0042101",1.34596340426083
"717","FBgn0004168",1.34334447872511
"718","FBgn0262531",1.34296233763182
"719","FBgn0005775",1.34285318362282
"720","FBgn0032782",1.34129317175756
"721","FBgn0040823",1.34097795126622
"722","FBgn0260745",1.34024931951047
"723","FBgn0259823",1.33941621201332
"724","FBgn0085400",1.3391276098886
"725","FBgn0035331",1.3387440563915
"726","FBgn0033214",1.33706419130359
"727","FBgn0011202",1.33466363384502
"728","FBgn0036935",1.33123288930414
"729","FBgn0015774",1.33118493557152
"730","FBgn0040388",1.33033752433586
"731","FBgn0038042",1.33033218878881
"732","FBgn0038596",1.32975815601473
"733","FBgn0030912",1.3291586747769
